total,available,percent,used,free,active,inactive,buffers,cached,shared,slab,dataset,buffer_error,total_dataset
7206719488,1012453376,86.0,6013763584,1094955008,4137111552,1673097216,1073152,96927744,45056,127864832,0,False,100
7206719488,925605888,87.2,6090387456,997249024,4151484416,1752698880,4128768,114954240,45056,127954944,99,False,100
7206719488,1066373120,85.2,5924835328,1113419776,4181315584,1595797504,7770112,160694272,45056,128118784,0,False,1000
7206719488,1037590528,85.6,5951246336,1082413056,4183687168,1625329664,7786496,165273600,45056,128118784,999,False,1000
7206719488,1019424768,85.9,5991661568,1086099456,3932487680,1862889472,2306048,126652416,45056,128098304,0,False,10000
7206719488,1018318848,85.9,5990907904,1083162624,3936468992,1863577600,2990080,129658880,45056,128098304,1000,False,10000
7206719488,1015406592,85.9,5992873984,1079341056,3939598336,1864650752,2990080,131514368,45056,128098304,2000,False,10000
7206719488,1013739520,85.9,5994389504,1077534720,3940081664,1865945088,2990080,131805184,45056,128098304,3000,False,10000
7206719488,1013739520,85.9,5994389504,1077534720,3940081664,1865945088,2990080,131805184,45056,128098304,4000,False,10000
7206719488,1013751808,85.9,5994389504,1077534720,3940151296,1865969664,2990080,131805184,45056,128098304,5000,False,10000
7206719488,1013526528,85.9,5994618880,1077276672,3940298752,1866055680,2990080,131833856,45056,128098304,6000,False,10000
7206719488,962891776,86.6,6031351808,1013690368,3946143744,1916538880,4952064,156725248,45056,128184320,7000,False,10000
7206719488,990273536,86.3,6001049600,1037430784,3947749376,1923268608,4952064,163287040,45056,128655360,8000,False,10000
7206719488,988356608,86.3,6001324032,1033781248,3947798528,1926660096,4952064,166662144,45056,128737280,9000,False,10000
7206719488,986746880,86.3,6001344512,1030660096,3947798528,1929670656,4952064,169762816,45056,128819200,9999,False,10000
7206719488,821714944,88.6,6201298944,900530176,3876818944,2109816832,1646592,103243776,45056,128118784,0,False,100000
7206719488,818810880,88.6,6201176064,895078400,3881975808,2110390272,2457600,108007424,45056,128122880,1000,False,100000
7206719488,818810880,88.6,6201155584,895078400,3881975808,2110418944,2457600,108027904,45056,128122880,2000,False,100000
7206719488,819007488,88.6,6200709120,895078400,3882369024,2110455808,2457600,108474368,45056,128122880,3000,False,100000
7206719488,819007488,88.6,6200717312,895078400,3882369024,2110455808,2457600,108466176,45056,128122880,4000,False,100000
7206719488,818946048,88.6,6200795136,894582784,3883233280,2110607360,2457600,108883968,45056,128122880,5000,False,100000
7206719488,818946048,88.6,6200770560,894582784,3883233280,2110607360,2457600,108908544,45056,128122880,6000,False,100000
7206719488,802250752,88.9,6210285568,870969344,3885219840,2130124800,2457600,123006976,45056,128229376,7000,False,100000
