total,available,percent,used,free,active,inactive,buffers,cached,shared,slab,dataset,buffer_error,total_dataset
7206719488,1747312640,75.8,5215875072,1111965696,3213484032,2603991040,6475776,872402944,45056,106549248,0,False,100
7206719488,1747681280,75.7,5215498240,1111691264,3214274560,2604081152,6475776,873054208,45056,106549248,99,False,100
7206719488,1761030144,75.6,5201928192,1126912000,3164127232,2633564160,5996544,871882752,45056,106508288,0,False,1000
7206719488,1762394112,75.5,5200646144,1126739968,3163881472,2637332480,6012928,873320448,45056,106442752,999,False,1000
7206719488,1737572352,75.9,5223800832,1098182656,3247816704,2580180992,6381568,878354432,45056,110137344,0,False,10000
7206719488,1738686464,75.9,5222531072,1097887744,3247984640,2581528576,6381568,879919104,45056,110153728,1000,False,10000
7206719488,1737834496,75.9,5223391232,1094152192,3248402432,2585133056,6438912,882737152,45056,110153728,2000,False,10000
7206719488,1736835072,75.9,5224337408,1091125248,3248504832,2587746304,6438912,884817920,45056,110153728,3000,False,10000
7206719488,1736302592,75.9,5224980480,1088466944,3248898048,2589855744,6447104,886824960,45056,110153728,4000,False,10000
7206719488,1736179712,75.9,5224972288,1086574592,3249147904,2591858688,6447104,888725504,45056,110153728,5000,False,10000
7206719488,1736220672,75.9,5224902656,1084346368,3249233920,2594148352,6447104,891023360,45056,110153728,6000,False,10000
7206719488,1736204288,75.9,5224931328,1082281984,3249299456,2595164160,6467584,893038592,45056,110153728,7000,False,10000
7206719488,1736388608,75.9,5224480768,1079959552,3249737728,2597490688,6467584,895811584,45056,110153728,8000,False,10000
7206719488,1736314880,75.9,5224906752,1077637120,3250118656,2599223296,6483968,897691648,45056,110178304,9000,False,10000
7206719488,1735163904,75.9,5226139648,1073860608,3250204672,2602102784,6483968,900235264,45056,110243840,9999,True,10000
7206719488,1576751104,78.1,5386620928,927174656,3080830976,2917220352,6549504,886374400,45056,106704896,0,False,100000
7206719488,1575510016,78.1,5385715712,922533888,3080998912,2919378944,6557696,891912192,45056,110342144,1000,False,100000
7206719488,1575411712,78.1,5385666560,919740416,3081801728,2921848832,6557696,894754816,45056,110407680,2000,False,100000
7206719488,1577168896,78.1,5383602176,919838720,3081822208,2923618304,6574080,896704512,45056,110407680,3000,False,100000
