total,available,percent,used,free,active,inactive,buffers,cached,shared,slab,dataset,buffer_error,total_dataset
7206719488,4231360512,41.3,2708566016,2955845632,1241985024,2693206016,355188736,1187119104,73728,154779648,0,False,100
7206719488,4231360512,41.3,2708566016,2955845632,1241985024,2693206016,355188736,1187119104,73728,154779648,99,False,100
7206719488,4255199232,41.0,2684727296,2979622912,1242312704,2668707840,355229696,1187139584,73728,154791936,0,False,1000
7206719488,4245053440,41.1,2694873088,2969477120,1242312704,2679541760,355229696,1187139584,73728,154791936,999,False,1000
7206719488,4229660672,41.3,2710257664,2954055680,1242394624,2694811648,355262464,1187143680,73728,154845184,0,False,10000
7206719488,4225265664,41.4,2714652672,2949660672,1242394624,2700668928,355262464,1187143680,73728,154845184,1000,False,10000
7206719488,4210982912,41.6,2728943616,2935369728,1242402816,2714894336,355262464,1187143680,73728,154845184,2000,False,10000
7206719488,4205047808,41.7,2734878720,2929434624,1242402816,2720522240,355262464,1187143680,73728,154845184,3000,False,10000
7206719488,4196376576,41.8,2743549952,2920763392,1242402816,2729472000,355262464,1187143680,73728,154845184,4000,False,10000
7206719488,4189634560,41.9,2750291968,2914021376,1242402816,2736181248,355262464,1187143680,73728,154845184,5000,False,10000
7206719488,4176859136,42.0,2763067392,2901245952,1242402816,2748518400,355262464,1187143680,73728,154845184,6000,False,10000
7206719488,4169568256,42.1,2770358272,2893955072,1242402816,2755837952,355262464,1187143680,73728,154845184,7000,False,10000
7206719488,4163051520,42.2,2776875008,2887438336,1242402816,2762489856,355262464,1187143680,73728,154845184,8000,False,10000
7206719488,4155793408,42.3,2784133120,2880180224,1242402816,2769616896,355262464,1187143680,73728,154845184,9000,False,10000
7206719488,4143534080,42.5,2796392448,2867920896,1242402816,2781970432,355262464,1187143680,73728,154845184,9999,False,10000
7206719488,3943821312,45.3,2997727232,2658775040,1243594752,2977550336,356421632,1193795584,73728,155164672,0,False,100000
7206719488,3943202816,45.3,2998345728,2658156544,1243594752,2978762752,356421632,1193795584,73728,155164672,1000,False,100000
7206719488,3939880960,45.3,3001716736,2654785536,1243594752,2981175296,356421632,1193795584,73728,155164672,2000,False,100000
7206719488,3939897344,45.3,3001700352,2654801920,1243594752,2982326272,356421632,1193795584,73728,155164672,3000,False,100000
7206719488,3935227904,45.4,3006369792,2650132480,1243594752,2987905024,356421632,1193795584,73728,155164672,4000,False,100000
7206719488,3924283392,45.5,3017314304,2639187968,1243594752,2998980608,356421632,1193795584,73728,155164672,5000,False,100000
7206719488,3916767232,45.7,3024830464,2631671808,1243594752,3006259200,356421632,1193795584,73728,155164672,6000,False,100000
7206719488,3913154560,45.7,3028443136,2628059136,1243594752,3009916928,356421632,1193795584,73728,155164672,7000,False,100000
7206719488,3905347584,45.8,3036250112,2620252160,1243594752,3017437184,356421632,1193795584,73728,155164672,8000,False,100000
7206719488,3890991104,46.0,3050606592,2605895680,1243594752,3031908352,356421632,1193795584,73728,155164672,9000,False,100000
7206719488,3883732992,46.1,3057864704,2598637568,1243594752,3039002624,356421632,1193795584,73728,155164672,10000,False,100000
7206719488,3872022528,46.3,3069575168,2586927104,1243594752,3048361984,356421632,1193795584,73728,155164672,11000,False,100000
7206719488,3856150528,46.5,3085443072,2571051008,1243598848,3065663488,356421632,1193803776,73728,155164672,12000,False,100000
7206719488,3842293760,46.7,3099299840,2557194240,1243607040,3078402048,356421632,1193803776,73728,155164672,13000,False,100000
7206719488,3835142144,46.8,3106451456,2550042624,1243611136,3085312000,356421632,1193803776,73728,155164672,14000,False,100000
7206719488,3830464512,46.8,3111129088,2545364992,1243611136,3090497536,356421632,1193803776,73728,155164672,15000,False,100000
7206719488,3823316992,46.9,3118276608,2538131456,1243611136,3098521600,356421632,1193889792,73728,155152384,16000,False,100000
7206719488,3806547968,47.2,3135045632,2521362432,1243611136,3115499520,356421632,1193889792,73728,155152384,17000,False,100000
